year,moy,dom,year_dec,le_f_mds,soilm_from_et,soilm_from_et_orthbucket,date,wcont_et
2001,1,1,2001.0,10194412.051337669,129.58714106488347,126.16990408983646,2001-01-01,129.58714106488347
2001,1,2,2001.00273973,10288145.462226883,140.17143214110044,136.3233069706412,2001-01-02,140.17143214110044
2001,1,3,2001.00547945,10366735.26967148,143.93102205364238,139.69317627994627,2001-01-03,143.93102205364238
2001,1,4,2001.00821918,8789681.209497167,158.34495685931842,153.1072296916941,2001-01-04,158.34495685931842
2001,1,5,2001.0109589,8573728.122640308,173.61424529489645,166.50378339071668,2001-01-05,173.61424529489645
2001,1,6,2001.01369863,9800963.999758046,191.1976503180521,180.40359810697507,2001-01-06,191.1976503180521
2001,1,7,2001.01643836,9291537.122589566,205.71199170407553,189.68947948221398,2001-01-07,205.71199170407553
2001,1,8,2001.01917808,8577549.753596613,216.21260100249182,194.73696474893285,2001-01-08,216.21260100249182
2001,1,9,2001.02191781,6592035.328410846,217.08930070806142,206.44606348968586,2001-01-09,217.08930070806142
2001,1,10,2001.02465753,7551441.4423536565,216.6656769625242,212.92039775238416,2001-01-10,216.6656769625242
2001,1,11,2001.02739726,6202798.004490408,217.26116762725835,213.83336216387644,2001-01-11,217.26116762725835
2001,1,12,2001.03013699,9839982.34063273,215.65517655706003,211.522805914102,2001-01-12,215.65517655706003
2001,1,13,2001.03287671,11550448.405597767,214.89992387467203,207.96765815527613,2001-01-13,214.89992387467203
2001,1,14,2001.03561644,8565632.742486812,216.21786293360586,209.33764055522468,2001-01-14,216.21786293360586
2001,1,15,2001.03835616,8480070.572720366,216.25564272915437,209.70371114661458,2001-01-15,216.25564272915437
2001,1,16,2001.04109589,8684508.556172684,216.16537356886704,208.7250907541999,2001-01-16,216.16537356886704
2001,1,17,2001.04383562,8936155.94355407,216.05425919587327,207.72160218165658,2001-01-17,216.05425919587327
2001,1,18,2001.04657534,10380452.187505044,215.41653323641134,206.29316206916857,2001-01-18,215.41653323641134
2001,1,19,2001.04931507,11348446.360831408,213.73465068778304,202.4057566389912,2001-01-19,213.73465068778304
2001,1,20,2001.05205479,11179482.832577202,210.07737362859038,197.99825430345206,2001-01-20,210.07737362859038
2001,1,21,2001.05479452,10264003.437545637,213.0923245648725,197.16815601061057,2001-01-21,213.0923245648725
2001,1,22,2001.05753425,10680202.667711068,215.04450360913722,195.8132467424731,2001-01-22,215.04450360913722
2001,1,23,2001.06027397,10065751.488645373,215.55548866606378,196.0525762251429,2001-01-23,215.55548866606378
2001,1,24,2001.0630137,9685427.87311627,215.7234197561259,198.5166615698282,2001-01-24,215.7234197561259
2001,1,25,2001.06575342,9690569.993909845,215.30856901966385,196.0999562607694,2001-01-25,215.30856901966385
2001,1,26,2001.06849315,9958374.980728496,215.60290053660057,197.6441482407285,2001-01-26,215.60290053660057
2001,1,27,2001.07123288,9320652.072818711,215.88448574117402,203.46849307334517,2001-01-27,215.88448574117402
2001,1,28,2001.0739726,7242197.91198181,216.80222279094394,206.0133058671147,2001-01-28,216.80222279094394
2001,1,29,2001.07671233,8461108.365142087,216.2640154519057,203.93538309868939,2001-01-29,216.2640154519057
2001,1,30,2001.07945205,9560836.442254977,215.7784328395702,203.75346978177583,2001-01-30,215.7784328395702
2001,1,31,2001.08219178,10618627.505621964,215.31136742717905,207.41490295393692,2001-01-31,215.31136742717905
2001,2,1,2001.08493151,9908370.11511082,215.624980079518,207.00331624257396,2001-02-01,215.624980079518
2001,2,2,2001.08767123,10429103.176596018,215.39505149481798,206.88296667285263,2001-02-02,215.39505149481798
2001,2,3,2001.09041096,10395595.632371182,215.40984668027906,203.9175127256264,2001-02-03,215.40984668027906
2001,2,4,2001.09315068,9447212.930350265,215.82860306153842,204.5363270000556,2001-02-04,215.82860306153842
2001,2,5,2001.09589041,7665447.147583256,216.61533798389974,210.13620518104076,2001-02-05,216.61533798389974
2001,2,6,2001.09863014,8224809.533544482,216.36835270247423,210.27413983801284,2001-02-06,216.36835270247423
2001,2,7,2001.10136986,7130914.632858962,216.85135968806455,212.4632594624442,2001-02-07,216.85135968806455
2001,2,8,2001.10410959,6398122.422705222,217.1749225424746,216.84076001609122,2001-02-08,217.1749225424746
2001,2,9,2001.10684932,10264678.002339508,215.46765308362055,212.88806781900487,2001-02-09,215.46765308362055
2001,2,10,2001.10958904,10366584.375219226,215.422656539669,210.894753482889,2001-02-10,215.422656539669
2001,2,11,2001.11232877,5132788.367400818,217.733628125099,214.2783532375085,2001-02-11,217.733628125099
2001,2,12,2001.11506849,6999111.57256455,216.90955705127053,214.24977210257012,2001-02-12,216.90955705127053
2001,2,13,2001.11780822,4390419.21907136,218.06141965635592,215.98319080906555,2001-02-13,218.06141965635592
2001,2,14,2001.12054795,6053800.843770624,217.3269570092325,214.57343478449496,2001-02-14,217.3269570092325
2001,2,15,2001.12328767,7413601.551859389,216.72653987536896,213.39734094072412,2001-02-15,216.72653987536896
2001,2,16,2001.1260274,5927572.914462792,217.3826926851133,214.70972455852066,2001-02-16,217.3826926851133
2001,2,17,2001.12876712,5152907.352405032,217.72474462971573,215.67639197373333,2001-02-17,217.72474462971573
2001,2,18,2001.13150685,8342662.2174538225,216.3163150985297,213.50533983569935,2001-02-18,216.3163150985297
2001,2,19,2001.13424658,9892087.263607848,214.86048483677666,209.64568839099795,2001-02-19,214.86048483677666
2001,2,20,2001.1369863,9687262.770328505,213.37809439790962,206.1103088721652,2001-02-20,213.37809439790962
2001,2,21,2001.13972603,9556147.638657128,209.80259756881642,202.11056494488622,2001-02-21,209.80259756881642
2001,2,22,2001.14246575,9558184.018940814,206.74220158030514,198.37607173880906,2001-02-22,206.74220158030514
2001,2,23,2001.14520548,5991389.800618049,217.35451447366694,205.44495001904556,2001-02-23,217.35451447366694
2001,2,24,2001.14794521,10941276.770873312,215.16890232480557,201.91214032841094,2001-02-24,215.16890232480557
2001,2,25,2001.15068493,6869940.196486386,216.96659239986295,201.6103463402121,2001-02-25,216.96659239986295
